name,navanLink,picture,starRating,navanRating,perNight,total,latitude,longitude
The Fullerton Hotel Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/e655af0f-12b4-4ac3-b921-36e2a875f25e,https://i.travelapi.com/lodging/1000000/900000/893000/892940/f4ce541f_b.jpg,5-star hotel,9.1 Excellent,$315 nightly,"$1,891",1.2862019,103.8530726
"ANDAZ SINGAPORE, BY HYATT",https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/dfb93cd3-c476-4d54-913e-0c01e281c320,https://i.travelapi.com/lodging/19000000/18620000/18618200/18618175/672d966c_b.jpg,5-star hotel,8.7 Very good,$241 nightly,"$1,448",,
30 Bencoolen,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/a902192b-ae85-4f88-ba1f-b60cba580cf6,https://i.travelapi.com/lodging/20000000/19790000/19789300/19789202/631b86d4_b.jpg,4-star hotel,8.5 Very good,$159 nightly,$953,1.2984653,103.8503424
InterContinental Singapore by IHG,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/8719be65-b53e-4a11-88fa-481cb2344494,https://i.travelapi.com/lodging/1000000/20000/12400/12307/bfc9a4b3_b.jpg,5-star hotel,8.8 Very good,$337 nightly,"$2,022",,
Oasia Hotel Downtown Singapore by Far East Hospitality,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/9746af22-ac1a-4946-bf1e-521cf487a292,https://i.travelapi.com/lodging/14000000/13460000/13455200/13455138/efa6ffdf_b.jpg,4.5-star hotel,8.6 Very good,$203 nightly,"$1,215",,
Paradox Singapore Merchant Court at Clarke Quay,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/12e8cec4-e59f-4973-8391-a78a8c919efa,https://i.travelapi.com/lodging/1000000/450000/447800/447795/7c3e3657_b.jpg,4.5-star hotel,8.5 Very good,$211 nightly,"$1,266",1.2884396,103.845903
InterContinental Singapore Robertson Quay by IHG,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/c862eada-b178-4f8e-87de-701dbe106860,https://i.travelapi.com/lodging/1000000/570000/560400/560319/022415cc_b.jpg,5-star hotel,8.6 Very good,$186 nightly,"$1,302",,
Rendezvous Hotel Singapore by Far East Hospitality,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/133ca580-e2e1-4549-8d46-50cb1cbc824a,https://i.travelapi.com/lodging/1000000/450000/447400/447343/ba929b2f_b.jpg,4.5-star hotel,8.2 Very good,$112 nightly,$673,,
Sofitel Singapore City Centre,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/c3bebfc4-c58f-4088-a5d2-960549a6fb55,https://i.travelapi.com/lodging/17000000/16660000/16651700/16651631/6a4e328b_b.jpg,5-star hotel,8.8 Very good,$249 nightly,"$1,664",1.2771112,103.8451982
The Robertson House by The Crest Collection,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/d285afe5-dca0-41f9-b6c2-53c42ba6c808,https://i.travelapi.com/lodging/3000000/2490000/2483600/2483503/5ae8b273_b.jpg,5-star hotel,8.3 Very good,$143 nightly,$854,1.2913437,103.8423401
Holiday Inn Singapore Atrium by IHG,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/62215e58-0cd4-49f3-bf01-984cd53bff04,https://i.travelapi.com/lodging/1000000/420000/415800/415721/98b1f643_b.jpg,1 king bed,Free Wi-Fi,,,,
The Westin Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/9e2d6005-3cc7-40df-a22b-00d6b1ad45c9,https://i.travelapi.com/lodging/7000000/6550000/6545000/6544926/bf388846_b.jpg,5-star hotel,8.7 Very good,$333 nightly,"$1,998",1.2783073,103.8507952
Mondrian Singapore Duxton,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/19da4669-64a3-4a73-95fb-fe50e34c10a1,https://i.travelapi.com/lodging/92000000/91590000/91580200/91580180/30d2ab40_b.jpg,4-star hotel,8.8 Very good,$178 nightly,"$1,065",1.2784849,103.8420793
AMOY by Far East Hospitality,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/d6359155-654a-48f2-a1ec-d07fe0ca32c8,https://i.travelapi.com/lodging/7000000/6500000/6493300/6493295/f954d89e_b.jpg,4-star hotel,8.9 Very good,$152 nightly,$910,,
Dao by Dorsett AMTD Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/350748c8-f993-48d7-986f-703da7343d30,https://i.travelapi.com/lodging/19000000/18560000/18559500/18559466/2f746a0e_b.jpg,4.5-star hotel,8.9 Very good,$201 nightly,"$1,205",,
Hilton Singapore Orchard,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/c45e1a90-e1a5-4785-b10b-a9f4c407cd8e,https://i.travelapi.com/lodging/1000000/20000/19100/19078/6e054b42_b.jpg,5-star hotel,8.6 Very good,$242 nightly,"$1,449",1.3019079,103.8359161
Hotel NuVe Heritage,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/15811a03-8c3a-4133-8e35-7d086f122a94,https://i.travelapi.com/lodging/8000000/7100000/7098000/7097957/de9ca12d_b.jpg,4-star hotel,8.0 Very good,$161 nightly,$967,,
Somerset Bencoolen Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/ed41b120-e853-443a-9687-0f8d74779a2e,https://i.travelapi.com/lodging/2000000/1090000/1080600/1080532/c4491f65_b.jpg,4-star hotel,8.6 Very good,$175 nightly,$955,1.2995674,103.8505318
JEN Singapore Orchardgateway by Shangri-La,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/588ab91c-8f16-491f-a85f-934ae4c52677,https://i.travelapi.com/lodging/1000000/910000/906100/906062/a9bcfce6_b.jpg,4-star hotel,8.6 Very good,$202 nightly,"$1,214",,
